Longitude,Latitude,date
-71.07,42.37,2008-05-22
-71.07,42.37,2008-06-16
-71.07,42.37,2008-07-07
-71.07,42.37,2008-07-08
-70.81,42.09,2008-05-22
-70.81,42.09,2008-05-26
-70.81,42.09,2008-05-27
-70.81,42.09,2008-06-03
-70.81,42.09,2008-06-07
-70.81,42.09,2008-06-12
-70.81,42.09,2008-07-07
-70.81,42.09,2008-07-24
-70.81,42.09,2008-07-26
-70.81,42.09,2008-07-28
-70.81,42.09,2008-07-31
-70.81,42.09,2008-08-06
-70.81,42.09,2008-08-11
-70.81,42.09,2008-08-17
-70.81,42.09,2008-08-23
-70.81,42.09,2009-02-09
-70.81,42.09,2009-05-05
-70.81,42.09,2009-05-19
-70.81,42.09,2009-05-31
-70.81,42.09,2009-06-01
-70.81,42.09,2009-06-09
-70.81,42.09,2009-06-16
-70.81,42.09,2009-07-13
-70.81,42.09,2009-07-15
-70.81,42.09,2009-07-20
-70.81,42.09,2009-07-24
-70.81,42.09,2009-08-02
-70.81,42.09,2009-08-06
-70.81,42.09,2009-08-10
-70.81,42.09,2009-08-17
-70.81,42.09,2010-05-02
-70.81,42.09,2010-05-05
-70.81,42.09,2010-05-14
-70.81,42.09,2010-05-15
-70.81,42.09,2010-05-24
-70.81,42.09,2010-07-05
-70.81,42.09,2010-07-12
-70.81,42.09,2010-07-19
-70.81,42.09,2010-07-22
-70.81,42.09,2011-05-03
-70.81,42.09,2011-05-14
-70.81,42.09,2011-05-20
-70.81,42.09,2011-05-28
-70.81,42.09,2011-06-02
-70.81,42.09,2011-06-06
-70.81,42.09,2011-07-15
-70.81,42.09,2011-07-19
-70.81,42.09,2011-07-31
-70.81,42.09,2012-05-12
-70.81,42.09,2012-05-19
-70.81,42.09,2012-05-26
-70.81,42.09,2012-05-29
-70.81,42.09,2012-06-05
-70.81,42.09,2012-07-16
-70.81,42.09,2012-07-20
-70.81,42.09,2012-07-26
-70.81,42.09,2013-06-02
-70.81,42.09,2013-06-10
-70.81,42.09,2013-06-14
-70.81,42.09,2013-07-20
-70.81,42.09,2013-08-02
-70.81,42.09,2014-05-18
-70.81,42.09,2014-05-27
-70.81,42.09,2014-06-02
-70.81,42.09,2014-06-04
-70.81,42.09,2014-06-09
-70.81,42.09,2014-07-04
-70.81,42.09,2014-07-25
-70.81,42.09,2014-08-01
-70.81,42.09,2014-08-04
-70.81,42.09,2014-08-17
-70.81,42.09,2014-08-20
-70.81,42.09,2015-05-18
-70.81,42.09,2015-05-24
-70.81,42.09,2015-05-29
-70.81,42.09,2015-06-02
-70.81,42.09,2015-06-17
-70.81,42.09,2015-07-03
-70.81,42.09,2015-07-20
-70.81,42.09,2015-07-25
-70.81,42.09,2015-07-28
-70.81,42.09,2015-08-03
-70.81,42.09,2016-05-12
-70.81,42.09,2016-05-20
-70.81,42.09,2016-05-25
-70.81,42.09,2016-06-01
-70.81,42.09,2016-06-08
-70.81,42.09,2016-06-09
-70.81,42.09,2016-06-20
-70.81,42.09,2016-07-19
-70.81,42.09,2016-08-01
-70.81,42.09,2017-07-25
-71.17,42.42,2008-06-11
-71.17,42.42,2008-06-20
-71.17,42.42,2008-06-30
-70.89,41.87,2008-05-02
-70.89,41.87,2008-05-24
-70.89,41.87,2008-06-09
-70.80,42.16,2008-05-18
-70.80,42.16,2008-06-04
-70.80,42.16,2008-06-05
-70.80,42.16,2008-06-08
-70.80,42.16,2008-06-10
-70.80,42.16,2008-06-16
-70.80,42.16,2008-06-17
-70.80,42.16,2008-06-20
-70.80,42.16,2008-07-22
-70.80,42.16,2008-07-26
-70.80,42.16,2008-08-04
-70.80,42.16,2008-08-13
-70.80,42.16,2009-06-01
-70.80,42.16,2009-06-03
-70.80,42.16,2009-06-14
-72.65,42.29,2008-05-26
-72.65,42.29,2008-06-02
-71.17,42.41,2008-05-25
-71.36,41.85,2008-05-27
-71.36,41.85,2008-06-09
-72.08,42.17,2008-07-01
-72.50,42.12,2008-06-07
-72.50,42.12,2008-06-08
-72.50,42.12,2008-07-13
-71.14,42.40,2008-06-02
-71.16,42.42,2008-06-03
-71.16,42.42,2008-06-07
-71.16,42.42,2008-06-24
-71.16,42.42,2008-06-30
-71.16,42.42,2008-07-22
-68.43,44.41,2008-06-28
-68.43,44.41,2008-06-29
-68.43,44.41,2008-07-18
-68.43,44.41,2008-07-19
-68.43,44.41,2008-07-20
-68.43,44.41,2008-07-21
-71.59,42.33,2008-05-31
-71.20,42.11,2008-05-29
-71.43,42.12,2008-05-29
-71.43,42.12,2008-06-09
-71.43,42.12,2008-06-17
-71.43,42.12,2008-06-21
-71.43,42.12,2008-07-20
-72.67,42.43,2008-06-17
-72.67,42.43,2009-06-04
-72.67,42.43,2010-05-14
-72.67,42.43,2010-05-26
-72.67,42.43,2010-05-30
-72.67,42.43,2015-06-06
-69.96,41.70,2008-06-07
-69.96,41.70,2008-06-17
-69.96,41.70,2008-06-28
-69.96,41.70,2008-07-17
-69.96,41.70,2008-07-26
-69.96,41.70,2009-06-13
-71.84,42.19,2008-05-27
-71.84,42.19,2008-06-07
-71.84,42.19,2008-06-12
-71.84,42.19,2008-06-25
-72.34,42.72,2008-05-29
-72.34,42.72,2008-06-21
-71.07,42.04,2008-05-27
-71.07,42.04,2008-05-29
-71.07,42.04,2008-06-04
-71.07,42.04,2008-06-05
-71.07,42.04,2008-06-07
-71.36,41.85,2009-07-13
-70.92,42.03,2008-06-05
-70.92,42.03,2008-06-11
-70.84,42.61,2008-07-06
-70.93,42.65,2008-06-02
-70.93,42.65,2008-06-09
-70.93,42.65,2008-08-05
-70.93,42.65,2008-08-11
-70.93,42.65,2008-08-13
-70.93,42.65,2009-06-29
-70.93,42.65,2009-07-16
-70.93,42.65,2009-07-18
-70.93,42.65,2009-07-19
-70.93,42.65,2009-08-07
-70.93,42.65,2010-06-14
-70.93,42.65,2010-07-30
-70.93,42.65,2010-07-31
-71.06,42.37,2008-06-18
-71.66,42.66,2008-07-10
-71.66,42.66,2009-06-12
-71.10,42.37,2008-06-15
-71.10,42.37,2009-07-06
-71.24,42.44,2008-05-29
-71.53,42.53,2008-06-12
-71.53,42.53,2008-08-08
-71.53,42.53,2009-05-31
-71.53,42.53,2009-06-07
-71.53,42.53,2009-06-21
-71.16,42.47,2008-06-08
-71.16,42.47,2008-06-19
-71.16,42.47,2008-07-20
-71.16,42.47,2008-08-03
-72.34,42.72,2008-06-15
-71.06,42.04,2008-06-06
-72.19,42.68,2009-05-22
-72.19,42.68,2009-06-12
-70.95,42.10,2008-06-10
-70.95,42.10,2008-06-23
-71.70,42.60,2008-06-28
-71.70,42.60,2009-06-11
-71.30,42.43,2008-05-29
-71.30,42.43,2008-08-28
-71.03,42.51,2008-06-01
-71.03,42.51,2008-06-08
-71.03,42.51,2008-06-29
-71.03,42.51,2008-07-07
-70.68,42.05,2008-06-21
-70.68,42.05,2008-06-22
-70.68,42.05,2008-06-23
-70.68,42.05,2008-06-24
-70.68,42.05,2008-06-26
-70.68,42.05,2008-06-27
-70.68,42.05,2008-06-28
-70.68,42.05,2008-06-29
-70.68,42.05,2008-06-30
-70.68,42.05,2008-07-01
-70.68,42.05,2008-07-15
-70.68,42.05,2008-07-17
-70.68,42.05,2008-07-26
-70.68,42.05,2009-07-05
-70.68,42.05,2009-07-06
-70.68,42.05,2009-07-15
-70.68,42.05,2009-07-16
-70.68,42.05,2009-07-18
-71.52,42.47,2008-06-01
-71.52,42.47,2008-06-08
-71.52,42.47,2008-06-15
-71.52,42.47,2008-06-29
-71.52,42.47,2008-07-13
-71.52,42.47,2008-07-20
-70.76,42.08,2008-06-03
-70.76,42.08,2008-06-11
-70.76,42.08,2008-06-17
-70.76,42.08,2008-06-23
-70.76,42.08,2008-07-03
-70.76,42.08,2008-07-15
-70.76,42.08,2008-07-30
-70.76,42.08,2008-08-16
-71.27,42.62,2008-07-05
-71.27,42.62,2008-07-17
-71.27,42.62,2008-07-20
-71.27,42.62,2008-07-26
-71.27,42.62,2008-08-04
-71.27,42.62,2008-08-19
-71.27,42.62,2008-08-23
-70.05,41.95,2008-06-16
-70.77,41.97,2008-06-14
-70.77,41.97,2008-07-11
-70.77,41.97,2008-07-19
-70.98,42.67,2008-06-02
-70.98,42.67,2008-06-03
-70.98,42.67,2008-06-14
-70.98,42.67,2008-06-28
-71.94,42.27,2008-08-04
-71.94,42.27,2008-08-17
-71.94,42.27,2008-08-24
-71.94,42.27,2008-08-31
-71.94,42.27,2009-05-31
-71.94,42.27,2009-08-02
-70.04,41.73,2008-06-01
-70.04,41.73,2008-06-21
-70.04,41.73,2008-06-26
-70.04,41.73,2008-07-01
-71.76,42.68,2008-06-03
-71.83,42.27,2008-06-09
-71.83,42.27,2009-06-14
-71.73,42.60,2008-06-10
-71.73,42.60,2008-06-25
-71.82,42.88,2008-06-26
-71.41,42.32,2008-06-28
-71.41,42.32,2008-07-12
-71.41,42.32,2008-07-25
-71.41,42.32,2008-08-02
-71.41,42.32,2009-06-29
-71.41,42.32,2009-07-04
-71.41,42.32,2009-07-17
-71.41,42.32,2010-06-24
-71.41,42.32,2010-07-01
-71.11,42.56,2008-06-01
-71.11,42.56,2008-06-03
-71.11,42.56,2008-06-13
-71.13,41.79,2008-06-27
-71.43,42.46,2008-06-09
-71.43,42.46,2008-06-21
-71.43,42.46,2008-07-02
-71.43,42.46,2008-07-04
-71.43,42.46,2009-05-19
-71.43,42.46,2009-05-24
-71.43,42.46,2009-05-30
-71.43,42.46,2009-07-05
-70.99,42.68,2008-06-14
-70.99,42.68,2008-07-06
-70.99,42.68,2008-09-26
-70.99,42.68,2009-05-16
-70.09,41.68,2008-06-11
-72.52,42.42,2008-05-26
-72.52,42.42,2008-06-02
-72.52,42.42,2008-06-12
-72.52,42.42,2009-06-09
-72.52,42.42,2009-06-15
-72.52,42.42,2009-07-12
-72.52,42.42,2009-07-16
-71.39,42.46,2008-06-29
-72.74,42.60,2008-07-15
-72.74,42.60,2008-07-28
-71.21,42.06,2008-06-02
-71.21,42.06,2008-06-03
-71.21,42.06,2008-06-16
-71.21,42.06,2012-06-26
-81.83,28.18,2008-06-03
-81.83,28.18,2008-06-07
-81.83,28.18,2008-06-22
-72.58,42.44,2008-06-13
-72.58,42.44,2008-06-18
-72.58,42.44,2008-08-09
-70.99,42.02,2008-06-02
-70.99,42.02,2009-06-10
-70.99,42.02,2010-05-20
-70.99,42.02,2010-05-21
-70.99,42.02,2011-06-20
-70.99,42.02,2011-06-27
-70.99,42.02,2012-06-19
-70.99,42.02,2012-06-20
-70.99,42.02,2013-07-13
-70.99,42.02,2013-07-17
-70.99,42.02,2015-07-09
-70.99,42.02,2016-07-27
-71.56,42.31,2008-06-03
-70.93,42.67,2008-07-11
-70.93,42.67,2008-07-31
-70.93,42.67,2008-08-08
-70.93,42.67,2009-06-04
-70.93,42.67,2009-06-12
-70.93,42.67,2009-06-21
-70.93,42.67,2009-06-22
-70.93,42.67,2009-07-09
-70.93,42.67,2009-07-17
-70.93,42.67,2009-07-20
-70.93,42.67,2009-07-21
-70.93,42.67,2010-06-12
-70.93,42.67,2010-06-30
-70.93,42.67,2010-07-01
-70.93,42.67,2010-07-03
-70.93,42.67,2010-07-11
-70.93,42.67,2010-07-12
-70.93,42.67,2010-07-14
-70.93,42.67,2010-07-26
-70.93,42.67,2011-05-31
-70.93,42.67,2011-06-03
-70.93,42.67,2011-06-06
-70.93,42.67,2011-06-10
-70.93,42.67,2011-07-07
-70.93,42.67,2011-07-09
-70.93,42.67,2011-07-14
-70.93,42.67,2011-07-26
-70.93,42.67,2011-08-13
