Year,Latitude,Longitude,Observation Date,State
2008,42.3683,-71.0716,5/22/08 18:15,MA
2008,42.3683,-71.0716,6/16/08 23:30,MA
2008,42.3683,-71.0716,7/7/08 19:15,MA
2008,42.3683,-71.0716,7/8/08 1:00,MA
2008,42.3683,-71.0716,7/8/08 3:15,MA
2008,42.3683,-71.0716,7/8/08 13:15,MA
2008,42.3683,-71.0716,7/11/08 15:30,MA
2008,42.3683,-71.0716,7/11/08 15:30,MA
2008,42.0938,-70.8052,5/22/08 21:30,MA
2008,42.0938,-70.8052,5/26/08 22:00,MA
2008,42.0938,-70.8052,5/27/08 21:30,MA
2008,42.0938,-70.8052,5/31/08 21:30,MA
2008,42.0938,-70.8052,5/31/08 21:30,MA
2008,42.0938,-70.8052,6/3/08 21:30,MA
2008,42.0938,-70.8052,6/7/08 21:00,MA
2008,42.0938,-70.8052,6/12/08 21:00,MA
2008,42.0938,-70.8052,6/14/08 21:30,MA
2008,42.0938,-70.8052,6/14/08 21:30,MA
2008,42.0938,-70.8052,6/14/08 21:30,MA
2008,42.0938,-70.8052,6/19/08 21:30,MA
2008,42.0938,-70.8052,6/19/08 21:30,MA
2008,42.0938,-70.8052,6/25/08 21:45,MA
2008,42.0938,-70.8052,6/25/08 21:45,MA
2008,42.0938,-70.8052,6/25/08 21:45,MA
2008,42.0938,-70.8052,7/5/08 21:15,MA
2008,42.0938,-70.8052,7/5/08 21:15,MA
2008,42.0938,-70.8052,7/5/08 21:15,MA
2008,42.0938,-70.8052,7/7/08 21:30,MA
2008,42.0938,-70.8052,7/9/08 21:30,MA
2008,42.0938,-70.8052,7/9/08 21:30,MA
2008,42.0938,-70.8052,7/9/08 21:30,MA
2008,42.0938,-70.8052,7/14/08 22:00,MA
2008,42.0938,-70.8052,7/14/08 22:00,MA
2008,42.0938,-70.8052,7/14/08 22:00,MA
2008,42.0938,-70.8052,7/19/08 21:30,MA
2008,42.0938,-70.8052,7/19/08 21:30,MA
2008,42.0938,-70.8052,7/24/08 21:00,MA
2008,42.0938,-70.8052,7/26/08 21:00,MA
2008,42.0938,-70.8052,7/28/08 21:00,MA
2008,42.0938,-70.8052,7/31/08 21:00,MA
2008,42.0938,-70.8052,8/6/08 21:00,MA
2008,42.0938,-70.8052,8/11/08 20:30,MA
2008,42.0938,-70.8052,8/17/08 20:45,MA
2008,42.0938,-70.8052,8/23/08 20:45,MA
2009,42.0938,-70.8052,2/9/09 21:00,MA
2009,42.0938,-70.8052,5/5/09 20:00,MA
2009,42.0938,-70.8052,5/19/09 21:00,MA
2009,42.0938,-70.8052,5/31/09 21:30,MA
2009,42.0938,-70.8052,6/1/09 21:00,MA
2009,42.0938,-70.8052,6/3/09 21:00,MA
2009,42.0938,-70.8052,6/3/09 21:00,MA
2009,42.0938,-70.8052,6/8/09 21:00,MA
2009,42.0938,-70.8052,6/8/09 21:00,MA
2009,42.0938,-70.8052,6/9/09 21:00,MA
2009,42.0938,-70.8052,6/15/09 20:30,MA
2009,42.0938,-70.8052,6/15/09 20:30,MA
2009,42.0938,-70.8052,6/15/09 20:30,MA
2009,42.0938,-70.8052,6/16/09 21:30,MA
2009,42.0938,-70.8052,6/18/09 21:30,MA
2009,42.0938,-70.8052,6/18/09 21:30,MA
2009,42.0938,-70.8052,6/21/09 21:30,MA
2009,42.0938,-70.8052,6/21/09 21:30,MA
2009,42.0938,-70.8052,6/21/09 21:30,MA
2009,42.0938,-70.8052,6/26/09 21:30,MA
2009,42.0938,-70.8052,6/26/09 21:30,MA
2009,42.0938,-70.8052,6/26/09 21:30,MA
2009,42.0938,-70.8052,6/28/09 21:30,MA
2009,42.0938,-70.8052,6/28/09 21:30,MA
2009,42.0938,-70.8052,7/5/09 21:30,MA
2009,42.0938,-70.8052,7/5/09 21:30,MA
2009,42.0938,-70.8052,7/8/09 21:00,MA
2009,42.0938,-70.8052,7/8/09 21:00,MA
2009,42.0938,-70.8052,7/8/09 21:00,MA
2009,42.0938,-70.8052,7/13/09 21:30,MA
2009,42.0938,-70.8052,7/15/09 21:45,MA
2009,42.0938,-70.8052,7/20/09 21:30,MA
2009,42.0938,-70.8052,7/24/09 20:45,MA
2009,42.0938,-70.8052,8/2/09 21:00,MA
2009,42.0938,-70.8052,8/6/09 21:00,MA
2009,42.0938,-70.8052,8/10/09 21:00,MA
2009,42.0938,-70.8052,8/17/09 21:00,MA
2010,42.0938,-70.8052,5/2/10 20:00,MA
2010,42.0938,-70.8052,5/5/10 21:00,MA
2010,42.0938,-70.8052,5/14/10 21:00,MA
2010,42.0938,-70.8052,5/15/10 21:00,MA
2010,42.0938,-70.8052,5/24/10 21:30,MA
2010,42.0938,-70.8052,5/25/10 21:30,MA
2010,42.0938,-70.8052,5/25/10 21:30,MA
2010,42.0938,-70.8052,5/28/10 21:30,MA
2010,42.0938,-70.8052,5/28/10 21:30,MA
2010,42.0938,-70.8052,5/30/10 20:30,MA
2010,42.0938,-70.8052,5/30/10 20:30,MA
2010,42.0938,-70.8052,6/7/10 21:30,MA
2010,42.0938,-70.8052,6/7/10 21:30,MA
2010,42.0938,-70.8052,6/7/10 21:30,MA
2010,42.0938,-70.8052,6/10/10 21:30,MA
2010,42.0938,-70.8052,6/10/10 21:30,MA
2010,42.0938,-70.8052,6/10/10 21:30,MA
2010,42.0938,-70.8052,6/18/10 21:30,MA
2010,42.0938,-70.8052,6/18/10 21:30,MA
2010,42.0938,-70.8052,6/18/10 21:30,MA
2010,42.0938,-70.8052,6/26/10 21:00,MA
